,,,2017a,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,_64,_65,_66,_67,_68,_69,_70,_71,_72,_73,_74,_75,_76,_77,_78,_79,_80,_81,_82,_83,_84,_85,_86,_87,_88,_89,_90,_91,_92,_93,_94,_95,_96,_97,_98,_99,_100,_101,_102,_103,_104,_105,_106,_107,_108,_109,_110,_111,_112,_113,_114,_115,_116
,D01E,W,d01ew.JPG,2/27/2019 9:15,2018:07:23 17:28:56,2018:07:23 17:28:56,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6772781.1,0.649,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,7.49,7.43,2.55,3.07,2.96,4.37,3.16,4.14,3.2,3.5,3.51,5.2,3.74,2.88,2,0.8,0.88,0.84,0.84,0.85,1,,,,,,0,0,0,0,3.163,3.199,3.503,3.513,5.199,3.737,,,,,0.0598,0.0616,0.06,40.95,6.14,47.09,2.45,0.38,2.83,,,,,,,,,,,
,D01W,C,d01wc.JPG,2/27/2019 9:15,2018:07:23 17:17:55,2018:07:23 17:17:55,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6754859.9,0.647,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,8.61,9.13,2.4,2.49,2.26,2.86,2.35,12.24,3.74,3.39,3.32,4.37,3.4,9.36,2,0.64,0.73,0.68,0.66,0.69,1,,,,,,0,0,0,0,2.349,3.741,3.39,3.324,4.366,3.404,,,,,0.0481,0.1195,0.0574,40.95,6.14,47.09,1.97,0.73,2.7,,,,,,,,,,,
,D01W,E,d01we.JPG,2/27/2019 9:15,2018:07:23 17:20:52,2018:07:23 17:20:52,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7071999.8,0.677,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,7.39,7.46,2.92,2.93,2.66,3.29,2.57,9.9,3.38,3.51,3.39,4.54,3.4,6.66,1,0.86,0.83,0.78,0.72,0.76,1,,,,,,0,0,0,0,2.572,3.384,3.511,3.394,4.543,3.404,,,,,0.0338,0.0739,0.039,40.95,6.14,47.09,1.38,0.45,1.84,,,,,,,,,,,
,D01W,N,d01wn.JPG,2/27/2019 9:15,2018:07:23 17:19:50,2018:07:23 17:19:50,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7808515.9,0.748,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,7.33,7.88,2.77,2.8,2.45,3.1,2.57,9.9,4.7,3.65,3.48,4.28,3.48,7.92,0,0.59,0.77,0.7,0.72,0.74,1,,,,,,0,0,0,0,2.575,4.703,3.647,3.479,4.28,3.485,,,,,0.1603,0.1077,0.1534,40.95,6.14,47.09,6.56,0.66,7.23,,,,,,,,,,,
,D01W,S,d01ws.JPG,2/27/2019 9:16,2018:07:23 17:22:19,2018:07:23 17:22:19,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6836966.1,0.655,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,7.56,8.18,3.09,2.76,2.38,2.57,2.25,14.58,3.64,3.19,2.93,3.18,2.75,13.68,0,0.85,0.87,0.81,0.81,0.82,1,,,,,,0,0,0,0,2.248,3.643,3.186,2.935,3.184,2.753,,,,,0.1968,0.1227,0.1871,40.95,6.14,47.09,8.06,0.75,8.81,,,,,,,,,,,
,D01W,W,d01ww.JPG,2/27/2019 9:16,2018:07:23 17:23:15,2018:07:23 17:23:15,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.3 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),6284896.9,0.602,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,11.69,12.12,1.75,2.3,2.11,3.18,2.39,9.54,2.93,2.91,2.86,4.41,3.23,7.2,2,0.6,0.79,0.74,0.72,0.74,1,,,,,,0,0,0,0,2.39,2.932,2.909,2.86,4.415,3.226,,,,,0.0833,0.1344,0.0899,40.95,6.14,47.09,3.41,0.83,4.24,,,,,,,,,,,
,D03E,C,d03ec.JPG,2/27/2019 9:16,2018:07:23 17:34:48,2018:07:23 17:34:48,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7003950.5,0.671,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,10.29,11,2.24,2.34,2.06,2.46,2.08,13.14,3.25,3.16,2.99,3.68,2.97,11.88,1,0.69,0.74,0.69,0.67,0.7,1,,,,,,0,0,0,0,2.077,3.249,3.165,2.986,3.677,2.974,,,,,0.2771,0.1482,0.2603,40.95,6.14,47.09,11.35,0.91,12.26,,,,,,,,,,,
,D03E,E,d03ee.JPG,2/27/2019 9:16,2018:07:23 17:35:34,2018:07:23 17:35:34,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7442283.6,0.713,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,7.23,7.31,2.7,3.16,2.93,5.24,3.62,2.16,2.97,3.5,3.46,6.16,4.22,2.34,19,0.91,0.9,0.85,0.85,0.86,1,,,,,,0,0,0,0,3.62,2.967,3.498,3.46,6.158,4.225,,,,,0.0677,0.0708,0.0682,40.95,6.14,47.09,2.77,0.44,3.21,,,,,,,,,,,
,D03E,N,d03en.JPG,2/27/2019 9:16,2018:07:23 17:34:41,2018:07:23 17:34:41,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),7449539,0.714,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,9.05,9.62,2.19,2.53,2.22,2.75,2.27,11.16,5.61,5.06,5.03,6.4,4.83,3.6,35,0.39,0.5,0.44,0.43,0.47,1,,,,,,0,0,0,0,2.273,5.61,5.062,5.03,6.402,4.829,,,,,0.2643,0.1258,0.2462,40.95,6.14,47.09,10.82,0.77,11.59,,,,,,,,,,,
,D03E,E,d03es.JPG,2/27/2019 9:16,2018:07:23 17:36:32,2018:07:23 17:36:32,6000 4000 1.00000000 1.00000000,N N N,SONY ILCE-6000 ILCE-6000 v3.20,0.0 [0],4,320,100 CenterWeighted,AperturePriority 0.0 AutoExp,None Normal Normal Normal,CameraModel-CameraSN LensModel-LensSN,90,Parametric Linear,1822.92 3000.00 2000.00,N,57.50 0.50,5 N ,0.50 2000G,1 18 8[+] 0.00 90.00 SOC,0.00004530 GapFr,0.0-5.0-10.0-15.0-20.0-25.0-30.0-35.0-40.0-45.0-50.0-55.0-60.0-65.0-70.0-75.0-80.0-85.0-90.0,0,Moles,-4,3,Yes 5/1/2017 9/30/2017 5 ,No No,NDVI (NIR-B)/(NIR+B),8644287.3,0.828,-1,1,,,,1370.00 0.51 0.15 0.60 1Pixel,RGB 8,COLOR color_pace.CAC  N,1/1/2017,SiteName,FieldOperatorName FieldAssistantName,17:25,1,0,d01ec,PartlyCloudy,_,_,0.00-0.00,M 0.0,0,45.56,-84.7,240,1,2.74,2.72,4.75,4.21,3.79,5.18,3.9,1.44,6.11,4.73,4.63,6.67,4.87,1.44,8,0.78,0.89,0.82,0.78,0.8,1,,,,,,0,0,0,0,3.901,6.105,4.726,4.627,6.673,4.868,,,,,0.0189,0.0254,0.0198,40.95,6.14,47.09,0.78,0.16,0.93,,,,,,,,,,,
